Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024?,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Tenés guardias?,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,Tengo (edad),Género
Santa Fe,Full-Time,Staff (planta permanente),630,540,,,No,No recibo bono,Más de tres,40,Mayo,2,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,0,0,0,0,SAP,Javascript,SAP,HANA,SoapUI,De 11  a 50  personas,Híbrido (presencial y remoto),2,"si, a partir de 2024 se ajusto por mes pero nunca llegando al porcentaje de la inflacion",No,6,3,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,,,,22,masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),600000,500000,,,No,No recibo bono,Uno,20,Febrero,2,"Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, pero escucho ofertas.",Developer,2,2,2,0,"Docker, Firebase, Linux","Bash/Shell, CSS, Dart, HTML, Java, Javascript, Kotlin, PHP","Flutter, jQuery","MariaDB, MySQL, SQLite","PHPUnit, Postman, Visual Studio Coded UI",De 11  a 50  personas,Híbrido (presencial y remoto),3,,No,10,4,,,,,,,,24,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),663390,567000,,,No,No recibo bono,Dos,27,Abril,3,"Horarios flexibles, Lactario en la oficina",3,"No, pero escucho ofertas.",SysAdmin,1,1,1,0,"Azure, HP-UX, Linux, Solaris, VMWare, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),3,,No,10,5,Terciario,Incompleto,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,"Sí, pasiva",20200,Neto,39,Prefiero no contestar
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2200000,2000000,Cobro parte del salario en dólares,980,No,No recibo bono,Dos,100,Abril,3,"Abono de celular, Descuento en gimnasios / Clases de gimnasia online, Ninguna de las anteriores",3,"No, pero escucho ofertas.",Developer,1,3,1,1,"Firebase, Google Cloud Platform, Zoho","HTML, Javascript, Python, TypeScript, Deluge",Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,Sí nuevas responsabilidades,No,10,5,Terciario,Completo,Administración de aduanas,,No,0,Porcentaje de mi sueldo bruto,36,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,11000000,9790000,Cobro todo el salario en dólares,,Un sueldo,Performance de la compañía,No,0,No tuve,2,"Descuento en gimnasios / Clases de gimnasia online, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Technical Leader,11,2,2,4,"Firebase, Google Cloud Platform, Kubernetes","CSS, HTML, Java, Javascript, SQL, TypeScript","Bootstrap, Node.js, React.js",Google Cloud Storage,mabl,De 51 a 100 personas,Híbrido (presencial y remoto),0,No,Sí,7,3,Universitario,Incompleto,Diseño Multimedial,UADE - Universidad Argentina De la Empresa,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,31,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),2200000,2000000,Cobro parte del salario en dólares,1300,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs",3,"No, pero escucho ofertas.",Developer,10,0,0,3,"Amazon Web Services, Firebase","Java, SQL","Hibernate, jQuery, React.js, Spring","Amazon DynamoDB, Amazon RDS/Aurora, Oracle","JUnit, Postman, SoapUI",Más de 10000 personas,Híbrido (presencial y remoto),1,"No, usan el pago en dólares y la varianza como ajuste",No sé,7,1,Universitario,En curso,"Abogacía, vengo de Ingeniería en sistemas de información ",UBA - Universidad de Buenos Aires,No,0,Neto,35,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1345321,1123433,Mi sueldo está dolarizado (pero cobro en moneda local),998,De uno a tres sueldos,Mix de las anteriores,Más de tres,70,Abril,2,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Data Engineer,1,0,0,0,"Amazon Web Services, Azure, SAP, Windows Server","Python, R, SQL, VBA","Django, jQuery, SAP, Spark, TensorFlow","Amazon DynamoDB, Amazon RDS/Aurora, Microsoft SQL Server",Postman,Más de 10000 personas,Híbrido (presencial y remoto),1,Solamente por inflación y una última por performance,Sí,3,3,Universitario,En curso,Física médica,UNSAM - Universidad de San Martín,"Sí, pasiva",10,Porcentaje de mi sueldo bruto,26,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),879000,729000,,,No,No recibo bono,Dos,35,Mayo,2,Clases de idiomas,2,"No, pero escucho ofertas.",Developer,2,0,2,0,"Amazon Web Services, Docker, Linux","Bash/Shell, Javascript, PHP","React.js, Symfony",MySQL,PHPUnit,De 51 a 100 personas,100% remoto,0,Aumento bimestral según inflación,No sé,7,2,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Neto,29,Masculino
Neuquén,Full-Time,Staff (planta permanente),3600000,3000000,Cobro todo el salario en dólares,856,No,No recibo bono,No,0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",4,"No, pero escucho ofertas.",Developer,7,1,3,0,"Docker, Linux","HTML, Javascript, PHP, SQL","Bootstrap, jQuery, React.js, WordPress","MariaDB, MySQL, Redis","Cypress, PHPUnit",De 101 a 200 personas,100% remoto,0,,Sí,9,2,,,,,,,,33,Masculino
Santa Fe,Full-Time,Staff (planta permanente),1560200,1505436,Cobro todo el salario en dólares,dolar oficial,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",UX Designer,8,3,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,,Sí,0,2,Terciario,Completo,Diseño Gráfico,,,,,40,Femenino
Corrientes,Full-Time,Contractor,3500000,,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Horarios flexibles, Sueldo dividido en dos pagos por mes, Trabajo full remoto",4,"No, estoy muy conforme.",AI Training QA,1,1,0,0,Google Cloud Platform,Ninguno de los anteriores,Ninguno de los anteriores,Google Cloud Storage,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,,No,9,1,Doctorado,En curso,Doctorado en Ciencias Biologicas,UNNNE - Universidad Nacional del Nordeste,,,,39,Femenino
Provincia de Buenos Aires,Full-Time,Contractor,8750000,8250000,Cobro todo el salario en dólares,,Un sueldo,Performance grupal,No,0,No tuve,1,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Manager / Director,20,10,5,10,"Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Python, Ruby, YAML :)","Bootstrap, Django, Flask, Rails","ElasticSearch, Google Cloud Storage, MariaDB, MongoDB, MySQL, Redis","Cypress, CircleCI",De 201 a 500 personas,100% remoto,0,No,No,9,1,Universitario,Incompleto,Licenciatura en Filosofia,UBA - Universidad de Buenos Aires,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,47,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3300000,3000000,Cobro todo el salario en dólares,3200,No,No recibo bono,Uno,1,Enero,4,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Data Engineer,20,0,3,0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, OpenShift, Windows Server","Python, SQL","Spark, Pandas scikit learn","Amazon Redshift, Amazon RDS/Aurora, MySQL","Postman, Pytest",De 201 a 500 personas,100% remoto,0,No,No,10,5,Doctorado,Incompleto,Ingeniería en Informática,UAI - Universidad Abierta Interamericana,No,0,Neto,44,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3632920,2867276,Cobro parte del salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Abono de celular, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",SRE (Site Reliability Engineer),23,2,2,0,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,No pero nuestros sueldos están atados al dólar oficial y se pagan 70% en USD,No,8,0,Terciario,Completo,Analista de Sistemas,,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,44,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),930000,821000,Cobro parte del salario en dólares,Oficial,No,No recibo bono,Más de tres,83,Mayo,4,"Abono de Internet, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Developer,7,7,1,0,"Amazon Web Services, Firebase, Google Cloud Platform, Linux","Java, Python",Ninguno de los anteriores,Ninguna de las anteriores,JUnit,De 11  a 50  personas,100% presencial,0,,No,10,5,,,,,,,,30,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1400000,1350000,,,No,No recibo bono,Dos,60,Febrero,4,Clases de idiomas,3,"No, pero escucho ofertas.",Developer,2,1,1,0,"Amazon Web Services, Azure, Docker, Kubernetes, Linux, OpenShift","Java, TypeScript","Angular, Bun, Hibernate, Node.js, React.js, Spring","ElasticSearch, MongoDB, MySQL, Oracle, Redis","Jest, JUnit, Postman, Selenium",De 11  a 50  personas,100% remoto,0,Siempre se ha ajustado cada 3 meses,No,10,3,Universitario,Incompleto,Ingeniería en Computación,,No,0,Porcentaje de mi sueldo bruto,29,Femenino
Corrientes,Full-Time,Staff (planta permanente),830000,720000,Mi sueldo está dolarizado (pero cobro en moneda local),,3+ sueldos,Performance de la compañía,Uno,20,Marzo,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",2,"Sí, estoy buscando activamente.",Developer,2,1,2,0,"Amazon Web Services, Docker, Linux, Serverless",Python,Django,"Amazon DynamoDB, MariaDB, MySQL, PostgreSQL",Postman,De 51 a 100 personas,100% remoto,0,,No sé,0,4,,,,,,,,22,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000,1700000,,,De uno a tres sueldos,Mix de las anteriores,Más de tres,55,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Descuentos varios (Clarín 365, Club La Nación, etc), Estacionamiento gratuito / subvencionado, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Data Engineer,3,2,2,0,"Amazon Web Services, Windows Server","Python, SQL","Hadoop, Spark","Apache Hive, Oracle",Postman,De 5001 a 10000 personas,100% remoto,0,,No,9,3,,,,,,,,21,Masculino
Santa Fe,Full-Time,Staff (planta permanente),600000,450000,,,Un sueldo,Performance de la compañía,Uno,0,Abril,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",2,"No, pero escucho ofertas.",Sales / Pre-Sales,2,2,2,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),2,Si,No,8,4,Universitario,En curso,Ingeniería Industrial,UCA - Universidad Católica Argentina,,,,25,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2107600,1700000,Cobro parte del salario en dólares,890,De uno a tres sueldos,Mix de las anteriores,Tres,83,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Consultant,14,2,2,1,SAP,Ninguno de los anteriores,"SAP, SAP Hana",HANA,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,Si,No sé,8,2,Universitario,Completo,Licenciatura en Sistemas de Información,UK - Universidad Kennedy,"Sí, pasiva",2,Porcentaje de mi sueldo bruto,37,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,1300000,1300000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Horarios flexibles, Sueldo dividido en dos pagos por mes, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,4,0,0,0,Ninguna de las anteriores,"Javascript, Python, TypeScript",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,,No sé,8,5,Universitario,En curso,Licenciatura en Ciencia de Datos,,,,,26,Masculino
Santa Fe,Full-Time,Staff (planta permanente),2500000,2100000,,,De uno a tres sueldos,Performance individual,Tres,60,Mayo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",DevOps Engineer,4,3,1,1,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Go, Javascript, Python, SQL","Django, Flask, Node.js","Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MariaDB, Microsoft SQL Server, MongoDB, MySQL, Redis",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,Ajustes por inflación,No,9,5,,,,,,,,26,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1510800,1258520,,,De uno a tres sueldos,Mix de las anteriores,Uno,43,Febrero,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,"No, estoy muy conforme.",Developer,2,0,0,0,Ninguna de las anteriores,"Go, Java",Spring,"ElasticSearch, MySQL",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,,No sé,10,2,Universitario,En curso,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,25,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1300000,1450000,,,Menos de un sueldo,Performance individual,Dos,30,Marzo,3,Horarios flexibles,3,"No, pero escucho ofertas.",Developer,3,3,2,0,Ninguna de las anteriores,"Bash/Shell, Java, SQL, TypeScript","Angular, Hibernate, Spring",Sybase,"Jest, JUnit",De 2 a 10 personas,100% remoto,0,Ajuste de inflación,No,7,3,Terciario,Completo,Analista de Sistemas,,No,100,Neto,38,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5999666,4380496,,,Un sueldo,Mix de las anteriores,No,0,Enero,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Estacionamiento gratuito / subvencionado, Horarios flexibles",4,"No, estoy muy conforme.",Project Leader,15,5,3,5,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,Si,No,10,2,,,,,,,,42,Masculino
Jujuy,Full-Time,Contractor,3000000,,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,4,Ninguna de las anteriores,4,"No, pero escucho ofertas.",Technical Leader,7,3,1,12,"Amazon Web Services, Docker, Kubernetes, Linux, VMWare, Windows Server",Python,Ninguno de los anteriores,"Cassandra, Microsoft SQL Server",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,Sí,8,2,,,,,,,,33,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),488000,488000,,,No,No recibo bono,No,0,No tuve,3,Horarios flexibles,3,"No, estoy muy conforme.",Riesgo Operacional IT,0,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),2,,No sé,0,3,,,,,,,,21,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,514000,480000,,,No,No recibo bono,Tres,74,Abril,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",Developer,5,3,2,0,"Docker, Linux","CSS, HTML, Javascript, PHP, Python, SQL, TypeScript","Bootstrap, Flask, jQuery, Next.js, Node.js, React.js, WordPress","MariaDB, MySQL",PHPUnit,De 51 a 100 personas,100% remoto,0,,No,8,0,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,No,0,Porcentaje de mi sueldo bruto,24,Masculino
Córdoba,Full-Time,Staff (planta permanente),2600000,1950000,,,De uno a tres sueldos,Mix de las anteriores,Dos,42,Mayo,2,"Abono de Internet, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Data Scientist,3,2,2,0,Amazon Web Services,Python,Ninguno de los anteriores,"Amazon DynamoDB, MySQL",Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,,No,4,3,,,,,,,,27,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),6000000,582200,,,No,No recibo bono,Uno,30,Marzo,2,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",Developer,3,1,1,2,Ninguna de las anteriores,".NET, C#, CSS, HTML, Javascript, PHP, SQL",".NET Core, Angular, Bootstrap, HTMX","Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,Si,No,5,5,,,,,,,,24,Masculino
Ciudad Autónoma de Buenos Aires,Part-Time,Freelance,100,100,Cobro todo el salario en dólares,990,No,No recibo bono,No,0,No tuve,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",QA / Tester,1,1,1,0,"Amazon Web Services, Google Cloud Platform, Linux",Ninguno de los anteriores,Ninguno de los anteriores,MySQL,Postman,Más de 10000 personas,100% remoto,0,No,No sé,5,3,Terciario,Completo,Tester QA Manual,,No,0,Bruto,34,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,1000000,1000000,Cobro todo el salario en dólares,1000 ARS = 1USD,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Horarios flexibles",2,"Sí, estoy buscando activamente.",AI Software Engineer/ Data Scientist,2.6,2,2,3,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Windows Server","Bash/Shell, C, C++, Python, Rust","Spark, TensorFlow, Torch, Replicate ","ElasticSearch, Google Cloud Storage, MariaDB, Microsoft SQL Server, Neo4j","Postman, Visual Studio Coded UI",De 2 a 10 personas,100% remoto,0,"Tengo una consultora de software, cada 3 meses renovamos proyectos. Por lo que la situación salarial depende del proyecto, se elije una base en dólares para que sea constante.",No,10,3,Universitario,Incompleto,Ingeniería Química/Ambiental,UCA - Universidad Católica Argentina,"Sí, pasiva",20,Porcentaje de mi sueldo bruto,26,Femenino
